,abundance_universe,abundance_solar,abundance_meteor,abundance_crust,abundance_ocean,abundance_human,boiling_point,critical_pressure,critical_temperature,density_stp,conductivity_thermal,electron_affinity,electronegativity_pauling,heat_specific,heat_vaporization,heat_fusion,heat_molar,magnetic_susceptibility_mass,magnetic_susceptibility_molar,magnetic_susceptibility_volume,melting_point,molar_volume,neutron_cross_section,neutron_mass_absorption,radius_calculated,radius_empirical,radius_covalent,radius_vanderwaals,refractive_index,speed_of_sound,conductivity_electric,electrical_resistivity,modulus_bulk,modulus_shear,modulus_young,poisson_ratio,coefficient_of_linear_thermal_expansion,hardness_vickers,hardness_brinell,hardness_mohs,superconduction_temperature
101,0.0,0.0,0.0,0.0,0.0,0.0,2551.893,6.68367,440.86407,8445.55,28.538202,-223.22,1.3,149.72969,266.63135,14.1208315,25.874443,8.336423e-07,1.3898716e-07,0.00753076,1100.0,2.0519663e-05,895.9907,0.028449673,211.80089,166.20966,110.04881,2.46,0.12217796,2102.711,2.8004696,2150.3308,47.944283,22.011341,54.785088,0.22551072,1.7299122e-05,569.8501,590.5985,3.3468928,0.0
102,0.0,0.0,0.0,0.0,0.0,0.0,3844.8452,9.771646,550.72644,9565.824,25.790941,-30.04,1.3,137.0513,376.42902,18.628187,23.978703,3.2013023e-07,5.339397e-08,0.0029003783,1900.0,1.6232485e-05,385.97528,0.02114451,194.29095,151.97339,124.57398,2.1342645,0.1735514,2398.4023,2.926337,5642.593,67.33104,29.522923,75.29454,0.24376878,1.1128959e-05,953.4866,843.4873,3.9320083,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0,5800.0,12.476431,565.7719,11729.369,34.978226,3.494019,1.2902443,128.0563,503.25525,22.71118,22.800224,1.257094e-07,2.1012909e-08,0.0011601587,2400.0,1.27625435e-05,188.32307,0.015931303,183.1445,138.15608,126.068665,2.0028968,0.19015443,2729.2424,4.419697,14777.448,112.47967,43.174744,111.34281,0.28062913,7.427502e-06,1286.0293,1166.5037,4.69734,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0,5323.6875,16.99547,548.47314,14095.488,59.22516,25.643742,1.4449003,122.40999,587.74084,27.421707,22.139145,5.240811e-08,8.825509e-09,0.00051904377,2605.4883,1.0450467e-05,88.92734,0.009328949,175.00931,128.26096,123.775795,1.94319,0.21656698,3182.591,7.47487,38716.938,174.84518,74.02057,191.18396,0.27768925,6.0440007e-06,1380.3978,1183.7808,5.4143,0.0
105,0.0,0.0,0.0,0.0,0.0,0.0,5207.871,22.26575,528.42786,16137.775,93.33381,46.59042,1.7454188,117.93016,623.43866,28.377039,21.654816,2.2248612e-08,3.7835566e-09,0.00024264798,2567.2422,9.149183e-06,60.70546,0.008504845,168.67838,121.05313,125.895706,1.9040972,0.2398485,3874.046,11.336521,101373.37,238.85089,119.13121,301.12842,0.25799003,5.248544e-06,2099.1738,1692.0188,5.924118,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0,4927.97,31.192074,552.58875,17646.852,73.55196,45.919365,1.7475364,117.06515,589.755,27.398525,21.80688,1.0362725e-08,1.7942433e-09,0.00013234405,1896.2747,8.726667e-06,77.25419,0.013067935,163.88297,117.98508,127.47911,1.8811667,0.29869613,3958.734,9.214187,265457.84,273.2397,143.943,356.2649,0.2537938,5.8045207e-06,1946.6633,1666.5907,5.865707,0.0
107,0.0,0.0,0.0,0.0,0.0,0.0,4493.3364,41.68621,609.47736,18598.93,85.75288,86.12109,1.8517429,114.61986,535.2784,25.239704,21.699524,4.8905777e-09,8.639323e-10,7.133312e-05,126.0,9.3578365e-06,93.11485,0.016842557,160.1578,115.98871,118.86684,1.8687882,0.36639035,3931.8384,11.456299,695000.2,260.43878,158.54527,366.6967,0.2435839,6.795663e-06,1619.3269,2164.6,5.611975,0.0
108,0.0,0.0,0.0,0.0,0.0,0.0,3975.0952,56.919147,731.0519,18586.424,107.496445,122.38594,1.9024367,114.21118,470.48438,21.473806,21.900919,3.789429e-09,7.022967e-10,6.953128e-05,1283.9241,1.2055136e-05,189.1,0.0354679,156.3758,117.39785,118.27139,1.854583,0.469768,3558.6172,14.762407,1819642.6,245.94632,139.43523,340.8149,0.26045164,1.0165748e-05,1300.681,1432.3903,4.9085097,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0,3618.84,74.26857,887.0326,17622.81,106.83267,150.31888,1.9503117,114.56438,391.2007,16.66506,22.266098,5.0314886e-09,9.6497e-10,0.00010461194,1371.0494,1.9429039e-05,106.1244,0.019413106,153.085,119.29149,117.30558,1.8503273,0.57860065,2565.4473,14.644393,4763928.0,200.27216,77.89509,198.48686,0.31260473,1.8159024e-05,759.83435,686.30853,3.4845624,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0,3332.4531,95.30813,1089.1835,15705.77,150.64775,151.0,1.9739609,114.300674,278.76538,11.200867,22.502216,7.3954487e-10,1.3147532e-10,2.1476382e-05,1061.3201,3.8360195e-05,120.61295,0.021039382,149.59279,123.56351,122.79437,1.8517652,0.7024187,1816.7798,21.030136,12472309.0,155.68433,41.422523,109.153465,0.34827316,3.6603717e-05,503.5343,287.05362,2.5141673,0.0
111,0.0,0.0,0.0,0.0,0.0,0.0,3570.0,111.81794,1264.629,12780.209,67.9825,58.676926,1.7718666,116.53383,159.3071,6.1122274,23.228418,-1.2713605e-09,-2.66576e-10,-1.0391746e-05,654.74927,8.6818094e-05,170.23781,0.028982641,145.00499,134.48578,126.370544,1.8516741,0.8079904,1378.0326,9.4748745,32653002.0,76.2553,22.989832,61.423706,0.35116434,7.9354584e-05,570.8096,153.20204,1.8929051,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0,1430.0,92.555466,1209.023,10914.072,46.111748,66.6,1.6095884,114.49041,147.8872,5.152618,22.95029,-2.7349805e-09,-5.6660965e-10,-2.8056485e-05,700.0,0.00020927752,66.20696,0.011348977,137.33186,149.99103,127.279625,1.772021,0.8635855,1098.8282,6.5284634,85486970.0,51.430984,11.234029,30.31695,0.359787,4.4709504e-05,690.53613,79.17316,1.4572539,0.0
113,0.0,0.0,0.0,0.0,0.0,0.0,420.0,69.64972,1103.656,9699.609,30.515587,43.902977,1.6539378,115.22029,141.46042,5.708322,22.831161,-4.3357273e-09,-9.024223e-10,-4.294896e-05,340.0,0.00052611885,25.438637,0.004553444,131.89069,150.94293,127.29683,1.7669792,0.88644403,1210.138,4.3081455,223807900.0,40.79866,8.287433,22.59912,0.3384868,2.8879818e-05,766.6455,61.454742,1.4396358,0.0
114,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,50.22029,991.256,8364.029,15.12413,35.3,1.7327583,121.185524,122.34154,7.8414087,22.46974,-8.973231e-09,-1.8713409e-09,-8.606825e-05,670.0,0.0013532317,9.960859,0.0022854889,124.97226,146.95665,127.305374,1.7795458,0.89186555,1440.4233,2.2390532,585937150.0,31.127861,8.778551,23.624052,0.2746236,1.6901962e-05,699.6383,72.022675,1.5626198,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0,1085.0,34.02021,851.09644,6922.7515,7.928614,74.9,1.7949657,142.68153,87.00018,8.376229,22.489643,-7.862405e-09,-1.5940751e-09,-6.8038375e-05,709.0,0.0035150435,4.4145083,0.0022982135,119.18451,151.36461,128.17992,1.7789862,0.8972548,1561.3163,1.742176,1534003600.0,25.7383,7.6560035,20.560526,0.19959961,1.0221482e-05,538.9258,73.03441,1.2996777,0.0
116,0.0,0.0,0.0,0.0,0.0,0.0,883.0,21.678476,679.8733,4440.258,3.8649838,165.9,1.9200885,153.00575,52.056465,6.028952,22.1665,-6.6270607e-09,-1.3205217e-09,-4.8763497e-05,723.0,0.009172242,2.8496618,0.0030511604,115.66788,142.60414,132.0133,1.8513428,0.9119874,1514.1782,0.9956174,4016074800.0,15.570764,5.0014257,13.427441,0.12270637,5.7599545e-06,332.09076,53.978546,0.83823884,0.0
117,0.0,0.0,0.0,0.0,0.0,0.0,350.0,11.32736,430.04083,1816.6995,1.5793462,5.40318,1.682019,100.69666,28.192184,3.686054,17.92696,-4.926182e-09,-9.38154e-10,-3.056009e-05,377.62967,0.013059158,1.4491414,0.003307886,96.211,111.591354,113.0901,1.6539538,0.75796145,1172.1797,0.40645897,5722038300.0,6.3567224,2.0418148,5.4817142,0.05009401,2.3514167e-06,135.43787,22.03651,0.34220877,0.0
